,CRIM,INDUS,NOX,RM,AGE,DIS,TAX,PT,B,MV
CRIM,1.0,0.5,0.53,-0.26,0.42,-0.46,0.73,0.34,-0.3,-0.38
INDUS,0.5,1.0,0.75,-0.41,0.63,-0.7,0.7,0.35,-0.32,-0.45
NOX,0.53,0.75,1.0,-0.34,0.72,-0.77,0.64,0.16,-0.37,-0.4
RM,-0.26,-0.41,-0.34,1.0,-0.26,0.23,-0.28,-0.34,0.15,0.75
AGE,0.42,0.63,0.72,-0.26,1.0,-0.74,0.48,0.25,-0.24,-0.37
DIS,-0.46,-0.7,-0.77,0.23,-0.74,1.0,-0.52,-0.23,0.25,0.23
TAX,0.73,0.7,0.64,-0.28,0.48,-0.52,1.0,0.42,-0.3,-0.4
PT,0.34,0.35,0.16,-0.34,0.25,-0.23,0.42,1.0,-0.02,-0.47
B,-0.3,-0.32,-0.37,0.15,-0.24,0.25,-0.3,-0.02,1.0,0.23
MV,-0.38,-0.45,-0.4,0.75,-0.37,0.23,-0.4,-0.47,0.23,1.0
